[00:03:32] [LOGGING]	 STARTING LOGGING
[00:03:34] [INIT]	 ==========================================
[00:03:34] [INIT]	 S.A.R.A.H. => KINECT
[00:03:34] [INIT]	 ==========================================
[00:03:34] [INIT]	 Server: http://127.0.0.1:8080
[00:03:34] [INIT]	 Confidence: 0,4
[00:03:34] [INIT]	 ==========================================
[00:03:39] [KINECT]	 Setup sensor stream
[00:03:39] [KINECT]	 Start sensor
[00:03:42] [INIT]	 Starting Server: http://169.254.80.80:8888/
[00:03:42] [INIT]	 Starting Server: http://127.0.0.1:8888/
[00:03:43] [WATCHER]	 Stop watching
[00:03:43] [GRAMMAR]	 Load file: time.xml : C:\Users\Tasa_PC\Documents\Projet\macros\time.xml
[00:03:43] [GRAMMAR]	 Add to context list: time.xml
[00:03:44] [WATCHER]	 Watching directory: macros
[00:03:44] [GRAMMAR]	 Load file: dictionary.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dictionary\dictionary.xml
[00:03:44] [GRAMMAR]	 Add to context list: dictionary.xml
[00:03:44] [GRAMMAR]	 Load file: dot_histoire.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_histoire\dot_histoire.xml
[00:03:44] [GRAMMAR]	 Add to context list: dot_histoire.xml
[00:03:45] [GRAMMAR]	 Load file: dot_itineraire.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_itineraire\dot_itineraire.xml
[00:03:45] [GRAMMAR]	 Add to context list: dot_itineraire.xml
[00:03:45] [GRAMMAR]	 Load file: dot_meteo.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_meteo\dot_meteo.xml
[00:03:45] [GRAMMAR]	 Add to context list: dot_meteo.xml
[00:03:45] [GRAMMAR]	 Load file: dot_text_to_speech.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_text_to_speech\dot_text_to_speech.xml
[00:03:46] [GRAMMAR]	 Add to context list: dot_text_to_speech.xml
[00:03:46] [GRAMMAR]	 Load file: dot_veille.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\dot_veille\dot_veille.xml
[00:03:46] [GRAMMAR]	 Add to context list: dot_veille.xml
[00:03:47] [GRAMMAR]	 Load file: meteo2.xml : C:\Users\Tasa_PC\Documents\Projet\plugins\meteo2\meteo2.xml
[00:03:47] [GRAMMAR]	 Add to context list: meteo2.xml
[00:03:47] [WATCHER]	 Watching directory: plugins
[00:03:47] [WATCHER]	 Start watching
[00:03:48] [GRAMMAR]	 Context: default
[00:03:48] [GRAMMAR]	 Context: time.xml, dictionary.xml, dot_histoire.xml, dot_itineraire.xml, dot_meteo.xml, dot_text_to_speech.xml, dot_veille.xml, meteo2.xml
[00:03:48] [CONTEXT]	 time.xml = True
[00:03:48] [CONTEXT]	 dictionary.xml = True
